2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m
13600;10300;35000;5300;9700;31700;17400;27500;64799;27300;96601;39100;27200;23800;64599;17600;39500;59400;42500;113200;86900;40000;31200;82100;47400;265000;117400;23200;99300;170700;48700;54300;98300;55900;60900;104300;20800;462200;90500;29900;780300;140400;35700;557700;178600;32400;45200;208200;88900;345100;198300;66900;379700;858700;67000;;177200;64900;649000;158500
14600;6100;29600;20500;8900;29600;26399;14299;193000;24599;29100;71701;20400;29000;71401;39600;58000;81900;41600;142100;99000;40300;27800;76100;25600;238500;99200;56000;70000;170700;43000;34200;116600;55900;42000;133100;66200;51300;172400;53100;121700;97900;48200;440400;178600;32000;46900;171700;70200;48200;210300;67400;316500;1225000;68800;51500;138700;67900;672300;158500
16000;7300;18400;14100;9900;54400;29000;39800;263601;27400;23400;46000;23100;31300;56300;40500;73900;54200;40100;30000;83200;39900;27800;71500;35200;586900;50400;52900;62200;103600;52700;49500;117900;49700;70400;133100;54300;45000;172400;58900;46100;97900;56700;111500;184400;42100;403800;174000;69500;251600;211300;67200;379300;;67800;822400;157200;68400;796700;4130800
13300;3800;35400;22300;96700;561400;26300;29200;58099;26001;23100;46500;14100;14300;71001;29600;30600;54200;40900;199100;370200;43100;336300;81600;32000;47300;110000;60800;65300;94600;45700;413600;109200;45100;334200;133100;52200;50200;172400;23300;52400;97900;42500;110900;152300;43500;200200;170300;62600;283100;176700;66800;380800;114600;68200;76500;157700;67100;771900;4456600
15100;31400;18700;7900;6100;69000;28500;80800;64500;13800;32100;38300;23000;61499;87801;38600;46400;54200;44800;186300;82600;26600;207000;87200;37500;37600;71600;25200;70700;97600;42200;251300;101600;50500;241500;;52700;362900;172400;22600;28800;97900;36000;76200;230500;31900;352900;151400;59800;298300;167300;69100;522600;118900;67200;74800;184600;68400;768700;3491500
13400;98000;17000;5800;11800;36600;12001;23800;65801;17200;48601;224299;27300;35500;602399;29000;41700;458200;39400;35500;77000;40500;190800;88200;18000;37500;47800;52400;63300;114700;97500;258800;116400;44100;432100;156500;24200;60200;172400;53200;29600;97900;27000;70300;263500;35800;222400;302600;71400;48400;428600;67100;582800;127500;69200;63300;165000;67700;632000;4818600
13600;39100;19400;13300;8800;52600;26600;41801;75800;18100;29500;59800;34200;25600;57899;40800;42900;74400;17400;37000;;34200;282900;88700;36200;27000;59500;52200;191200;125200;50100;211300;120300;51400;439100;133000;47800;400600;104700;24100;350400;164400;61000;72300;327400;45700;478200;222800;48800;73500;184900;67500;55200;182500;28500;964000;165900;64100;635800;4728300
13600;21500;17700;10100;14600;30700;28000;67000;64600;13300;15700;48999;15300;127000;57301;45000;111500;59400;33700;37800;206600;40400;262800;76500;26000;;52100;42800;118600;119300;34200;244800;101100;33900;558100;193600;54000;37000;109300;47700;338400;116900;72700;105300;282200;59100;47800;279500;70600;52000;162300;67200;41800;250300;68900;757900;195100;74700;;203900
12700;7500;20000;7600;10700;29700;26801;73700;72100;28001;13600;47700;35699;23200;61400;42800;47300;55900;35500;89400;81900;38300;23900;72500;27700;37900;51300;20900;153500;104200;51900;203100;101100;46400;293800;147800;36000;46900;143300;49600;323300;154400;26000;564100;245000;53800;46800;225300;79300;580800;1114200;69300;59500;161000;66900;612700;368700;70700;1173300;246400
13800;10000;28700;7700;5200;27900;28400;30001;134401;12701;23800;44801;31000;12000;61000;41000;98100;128600;41100;93500;113400;51400;35800;84800;31700;175900;77500;23400;66900;133500;52600;228300;101100;43000;42300;136000;44400;34200;90400;22400;203600;96800;27200;;252300;54200;45300;225300;32300;698000;389900;68800;300900;987400;67200;650100;130000;66500;57200;134200
13700;10300;30300;12600;6900;28500;25701;34999;62701;12200;79399;39701;19901;10800;64200;35200;33300;72200;42100;237700;88800;37800;19200;76700;28100;453700;61700;49400;51000;133500;48100;62000;101100;51200;283100;169600;58000;46700;89400;38400;27900;175700;37500;165800;239000;24900;52300;225300;68000;641000;1081700;66500;470500;141400;67100;79000;1458400;67300;729000;173000
11700;31700;20000;12300;6800;31300;27200;58599;60900;15100;21399;48100;21399;31800;70599;40600;30600;55800;41700;39900;125200;39500;41000;73000;38600;32000;61700;50200;63300;133500;81000;45500;101100;52800;333600;108800;37500;43000;149900;23700;524300;189700;30700;165800;180700;24900;76800;225300;67700;1171400;1081700;69200;430600;161400;70000;;156500;67100;958000;244400
11700;13600;16900;13600;16000;30100;24500;80000;61000;16600;28600;36800;35800;162199;75600;34200;62400;125100;41100;31000;138000;41200;272900;82300;38500;39100;65000;49500;67800;133500;29700;46100;101100;50800;220200;121600;23700;329400;147100;39700;447800;160500;71100;382100;183100;63600;80900;225300;67300;888300;1081700;67000;41600;136000;67400;;205900;67800;810700;106500
9300;8000;26400;15500;11300;48000;19800;56601;63399;20600;24100;37800;30200;150600;71799;41000;41500;55100;38200;29200;120200;40200;236300;117800;34200;32800;81900;56400;120400;133500;54800;50200;215100;43800;260300;121600;52100;48100;108500;23800;636600;224800;30600;246700;183100;41500;420000;225300;69100;396700;1081700;67000;474600;129400;66600;1255200;277500;67600;59700;150900
21100;33600;39100;10800;7700;25800;26000;33500;57300;16200;21000;39400;31600;138900;61900;47600;74700;;43600;42600;79900;51200;228900;78200;18700;35900;56100;48400;150000;133500;30900;61500;94200;42500;32800;121600;51600;1164600;114500;50500;529300;209800;28800;702400;183100;64800;54000;257500;43600;338800;1081700;67000;343100;906300;60600;;179200;67100;511500;1712900
9400;21100;21400;21100;22700;31400;20800;51999;58900;26600;20300;49500;30300;145100;64101;30500;74800;;48300;206700;76100;41300;25500;70900;15400;19500;141500;55000;136000;130100;52700;54800;102700;49700;49900;121600;38900;254200;172200;32900;214900;186000;36600;622800;183100;64700;289800;262200;81300;54600;1081700;60100;347700;152600;66700;;213200;76400;;9409700
15800;16600;108200;8900;15200;17800;28601;40799;56001;32601;28600;39500;13400;11500;85800;54000;51300;558900;37100;38300;73800;47900;22500;80500;16500;206100;86200;52400;58700;100100;63100;;110000;49700;166800;121600;55500;254200;130700;21500;41100;186300;28400;87400;183100;66100;66300;236300;70100;47200;133400;66400;35200;223700;71300;772100;210600;77800;663800;18199900
6600;7600;20200;6500;6700;83800;28100;24300;66800;34500;34600;44701;20400;26101;58600;42600;42900;80500;40200;179000;126500;39900;16100;87900;17300;377300;59100;51800;55600;161900;37500;141000;101000;32300;221400;121600;23700;632300;121100;18300;1259200;176600;30100;69100;183100;49400;168600;304400;59700;57900;187200;69400;32900;113400;68300;460200;264800;67300;593900;30247400
16100;28700;38900;13800;13500;67300;27400;17901;62300;27000;74100;39600;27101;19199;58800;16800;56400;80500;27800;210900;126500;52400;35700;108300;16500;437500;94600;52200;55800;105700;52000;268300;234500;45300;42900;121600;22400;389400;105800;52100;657900;176600;48800;86100;211400;73000;51300;276600;67400;334500;162800;70100;64400;;68100;489400;225500;71800;500500;40702700
15400;17400;28500;10700;21600;49000;29499;22200;82701;37400;20299;38300;12800;101500;56101;39600;37400;80500;32500;97000;83100;35000;31600;96900;17500;24000;119300;47700;83900;95500;43500;176100;162200;24400;;121600;21300;390800;99100;23100;531400;173900;26500;69600;235600;55900;53500;252200;75000;606600;143800;67500;47100;219600;68400;51500;150300;68100;498600;132800
13400;7300;36600;15400;12700;54600;27601;38300;72300;27299;23200;;15700;152300;59300;43700;35800;68500;27500;26800;148100;41000;165800;77500;17800;23700;59600;53000;76400;96000;65100;55100;127000;50800;45100;121600;24100;453300;192500;51200;573900;156700;28400;98700;220300;30700;54300;345500;29400;473700;301600;68700;45800;138900;46500;71100;161500;68100;635000;153400
11700;6200;13600;9900;17900;42900;26801;29300;68400;13199;25599;474300;39999;20100;178901;32700;43500;154900;38300;21100;712900;40000;102000;79000;19000;23700;55900;43200;72400;108900;44300;44100;127000;53800;414100;736500;21100;57400;346300;18200;553800;162200;60800;724500;213500;29200;51400;260000;37900;48100;167500;73000;413000;163200;69100;644800;161500;67400;931500;1586200
17900;40000;15200;8400;2600;43700;24700;46700;60400;19400;67901;475600;31200;36100;59000;55700;35000;75000;17100;69400;467100;42300;102000;80000;26700;52000;64200;55700;70300;100600;52900;44700;127000;51200;289900;758200;45100;40400;182700;51700;552100;178600;40600;383600;214100;61100;38500;275400;31300;50300;204300;67400;470200;150200;47600;683400;1067000;68600;692000;1354700
15100;6800;15200;14100;13000;43700;35100;18200;56300;15100;23100;38500;10601;18000;55801;37400;44300;251200;45600;20500;82800;40500;28200;86500;35500;309900;56400;53700;57300;1221500;22100;37800;127000;41300;883300;127400;24000;45600;;52200;51700;109900;61400;429000;187100;63700;38500;275400;57500;56200;202100;79000;453100;130200;67500;672300;179900;76500;738600;1655200
13600;23000;15200;13900;8700;53900;26399;43301;61400;18600;64600;55301;22900;12500;58600;16000;51500;75700;33500;122200;108600;41100;196600;82500;37000;387800;61100;55700;51700;852300;53600;189200;127000;51500;313000;149700;67100;58300;;40500;26300;188600;39000;1141800;153300;67000;335900;275400;29300;319800;734200;67100;37500;129100;68500;663100;158900;68000;762900;1622800
16600;33300;15200;5600;14200;45900;39699;28301;30000;27700;104101;58200;11901;104900;55999;42200;75200;92400;36600;96400;81500;39800;847300;74500;34000;27600;60200;53500;53900;880300;55200;48600;112500;51100;319600;147900;38300;488000;;59000;39300;180100;28900;452400;162600;65200;557800;275400;26900;283200;734200;68800;33400;857800;60700;870500;231500;68100;594800;1861800
9900;31600;37700;5600;6600;31300;35600;34800;72799;15300;15300;41601;30400;84400;61700;31500;41000;75000;42700;39800;72900;51600;419700;84100;38900;24000;142600;53300;59000;769300;53100;282800;125500;43700;236100;147600;25100;311100;589900;49900;563900;287900;29700;192700;152900;55300;457200;275400;81800;313300;734200;67200;380700;132100;66200;721800;149600;66800;651800;148600
20800;7700;19200;8500;5700;67700;18500;20801;72501;20000;19400;41399;18301;124700;69100;40000;59200;75000;31200;32700;76200;41900;24100;78800;25600;21400;47400;53600;114500;1208600;21100;279400;98500;22800;86600;140200;22100;295100;176100;19100;664000;213000;57800;102800;180900;92300;303100;275400;63000;57600;734200;68200;66800;268600;69200;40600;167000;65900;624900;126600
11200;28300;18500;13400;7900;60900;23900;27301;63200;24300;27500;39100;15300;85999;72000;42100;47000;75000;33800;130300;71900;40900;45300;83000;42700;38000;52400;54700;165200;773900;50700;58500;121000;58000;57300;128800;58900;42900;132300;38600;1427700;213000;28700;100500;175600;57700;333700;275400;60900;468400;734200;64700;59300;110100;68300;464100;168300;69300;470500;183400
13000;25200;18900;7200;6500;172500;28700;25700;150399;11801;34799;36799;24401;104699;114000;41400;31400;56800;35900;35700;91100;41000;46800;83000;18100;;52100;56000;170000;115300;53000;50800;100600;43900;409200;135100;53800;43600;137800;46900;446100;213000;47500;97100;262400;;55000;180700;77500;542200;734200;66400;50700;1133900;58200;423600;150700;67100;533700;123300
16800;25600;16700;5500;14200;124700;28101;58701;55601;26900;63799;37500;19000;93400;76100;17400;48100;57100;35100;30800;102500;37300;25600;127400;35000;359400;64600;53900;169000;99300;50100;65300;116400;48700;297000;189400;41700;55800;123000;50200;499800;213000;29100;93000;262400;58200;52200;182500;69600;608000;734200;69400;65200;144900;67600;491400;152300;68300;468400;3376500
13500;15600;19000;8500;18400;71200;26899;37599;58899;30000;115299;35299;20300;12900;60501;16800;43800;61900;40600;14200;166400;45700;208300;119700;17000;204900;96000;35100;56600;98800;49000;59600;108500;43300;210300;143700;26400;36900;112800;63000;26500;213000;33900;80700;262400;49700;71100;179800;72500;61500;;60400;53300;146900;67600;449800;164600;67000;460600;1752100
18800;16300;19900;5900;8800;71200;24600;48899;59501;24700;97699;45400;30700;113000;56900;40300;31100;62900;46100;20400;101100;40700;234200;128500;32900;29600;52700;53300;76600;97700;41700;46300;180300;28800;339900;143700;48300;37200;124700;48400;29500;135400;29200;95000;262400;64000;50300;149700;66800;48200;176500;66000;60800;162300;68500;46700;141900;65900;596000;171200
8900;36800;15100;7700;23500;62900;19899;46200;144700;12000;25799;50199;26601;120100;68000;29500;45000;95300;32100;28400;97000;49900;202900;134200;30700;19800;88700;55000;53100;95200;55200;200400;171000;23700;200600;100100;38400;503900;125600;53000;487500;144900;36200;402200;;64900;60800;269800;63300;295500;179000;67600;333800;119700;69300;43900;;67400;476700;4659800
14700;7000;18300;21100;21800;31800;27300;21900;454600;15000;28300;124900;19699;93800;56199;39900;40200;116000;35300;159600;110500;40000;422500;86700;19000;39600;87100;53500;67100;117700;32000;365200;148600;34000;200600;98400;23500;454500;372600;40500;28400;126600;34200;185000;243600;61000;1294100;293500;63700;240200;137300;67300;485400;272300;55500;37200;;66100;549300;16360700
15000;18000;18300;5700;7600;56400;20500;30900;68100;17000;27500;40600;16300;10801;53500;40100;47200;51800;35700;98300;77900;42900;22100;76300;26400;24200;62500;53100;219200;185200;53800;286100;156900;53400;200600;116000;45600;307000;90400;44200;427700;169900;63500;645600;175800;62800;325300;268200;47800;410700;187200;67600;500400;;70300;53700;;61000;499200;26317100
13500;26000;20500;10500;18500;56400;29100;26300;72800;16199;36201;64601;15500;37500;63800;34700;61500;59900;43100;20200;82000;41100;366500;70100;15200;431500;83200;53300;46200;185200;51900;51100;156900;64700;200600;106800;55700;39500;90400;47000;592100;142300;45500;1245600;202400;59100;304100;147500;58000;394600;166500;67700;43500;142200;67900;629200;;71600;488600;28310300
11900;18300;24900;12700;14600;55400;39700;19799;279699;31800;30600;51300;17799;18800;77500;46200;178000;68200;39200;28600;95600;22900;22100;129000;16500;176100;60400;53800;65800;185200;55600;48300;156900;51400;217400;105600;51200;34800;90400;49900;598400;162100;74800;612600;180100;51400;291600;156700;29300;75400;205500;66500;48000;121700;84100;637100;;68700;527900;122300
17800;17600;21400;40500;12600;29100;21800;48099;72000;11500;21701;40400;20000;5700;59100;34800;88400;54200;38800;32900;126100;34100;48100;142800;14500;133800;63600;55000;191300;185200;22300;58800;136900;50600;166600;114100;54500;53600;90400;55300;39400;142200;53800;1496200;187600;30200;59200;212100;46800;837800;185700;69400;45800;900800;67300;562300;;65900;601100;1478100
15100;33300;24300;8600;4400;48600;44401;91600;60600;25900;36099;46200;13900;119900;59000;36200;56600;54200;40900;41500;97300;39800;20400;140900;40600;246100;64600;53200;60800;185200;45400;135600;120600;51700;55500;86900;23600;74200;90400;54600;508900;112200;29300;807000;183200;30200;45500;212100;81600;409000;171200;70400;364600;143400;61000;705000;;69800;515600;1693300
13400;6600;24000;4800;7000;18500;28000;31500;61100;21400;41801;37200;24300;121700;64901;17100;29600;63000;43400;43300;117600;49200;34500;117400;44900;26400;48300;53700;58900;185200;40900;280400;132900;50900;45800;137800;27700;35600;140400;45900;349500;130500;91700;541900;228700;30200;57700;212100;40900;361900;224200;66700;388800;157800;37000;42700;;67600;502100;1357600
13400;29600;25000;11600;7700;26600;36300;23300;63901;15600;19800;39499;25700;39899;88099;34200;29100;56100;42600;83600;131600;40100;258000;117400;24700;26200;51400;56600;73800;185200;51200;322000;147500;52800;56200;153700;55600;511200;113300;58900;642500;130500;30700;94200;150200;62000;51400;212100;35000;788000;232600;68500;573300;171100;49400;45200;;66100;477700;1444500
22200;44000;21900;10200;13800;65800;14299;37801;58601;12201;77400;54400;37900;47100;63800;39800;69200;81000;43900;151900;115400;36000;164200;76100;28300;29600;94300;56200;;;42400;290400;186100;52200;66100;153700;22100;303300;131100;53500;1182200;130500;47600;90800;161100;66300;47000;212100;54500;293500;;67200;48100;857600;35300;39300;;66700;515200;1359300
3100;47200;18500;11100;5400;74800;20901;26100;112799;11399;32701;43499;16401;31500;72801;42800;116900;55300;41600;229200;175200;38900;164200;124000;16000;23300;150800;54000;159600;110100;55500;56300;207100;58300;55800;153700;38400;37900;122200;39900;865900;;41700;92400;168900;66400;398500;183400;87800;340500;263800;67000;43900;131800;66100;452000;;68000;575800;153900
17400;4300;19500;5700;18200;31100;26901;22200;189600;15699;25000;46000;20901;22400;63399;39700;79400;60500;38300;55700;115600;25000;291400;115100;26900;404200;53500;53600;140600;130200;53500;262400;171100;50900;64000;153700;23200;516200;161600;23600;30200;;59000;65800;168900;64300;298200;157900;28000;260500;263800;59500;49100;115200;70600;527100;;66900;514400;140400
25400;3700;34200;13100;8400;48100;26899;41701;61600;24599;25100;46100;27701;20599;662799;40000;50600;55400;40500;53700;80800;43100;20100;112300;37800;399300;56300;55400;167600;167500;38800;147300;183200;36300;47000;153700;34300;80100;134300;21900;496000;120600;64000;325100;283800;63500;337500;149600;76800;50000;263800;67200;42600;1258800;67200;532400;;66600;448000;159500
12700;5700;29000;13200;24300;36600;30200;24401;58200;12200;21299;41399;33301;18201;285700;42800;29800;79500;42100;106800;71300;39400;248400;112300;41000;313600;79000;55600;54100;124700;48600;172300;111900;50500;47000;143600;40800;40700;181800;22800;463000;143900;31800;279000;283800;71900;347900;166600;66700;305500;263800;69400;40300;1109700;67200;583900;;67200;540300;146600
13400;38100;42400;12200;13400;30600;35501;19601;62700;26300;16599;169501;29700;14900;87600;39900;36500;79500;42000;188800;75300;33700;26300;131400;33600;172400;62900;53600;61200;119700;39500;137900;111900;52900;366800;122400;26400;43000;173600;19500;474400;104700;20000;306200;283800;66300;56900;177300;67100;284600;1093500;67100;47900;262500;67000;506500;;69100;715400;1768300
9500;21900;24000;11600;21600;29800;20900;16400;62500;15300;22700;259900;25301;32399;65799;39100;110400;79500;40100;145900;78200;38800;22900;137500;17200;204400;292900;55600;77300;99500;58200;68000;395300;52700;372100;214500;45900;47000;170800;40900;467300;128700;30400;328000;283800;65300;64200;180900;69300;289800;1018900;72600;381600;149200;66900;653600;;68600;545100;1846800
15000;8000;17500;15600;12900;33700;27601;30700;61100;25901;25399;206800;15700;10599;65600;38300;41800;79500;41500;27800;85100;35900;23100;105100;28000;18900;50500;55000;97900;123500;40900;42800;395300;65300;447900;135100;52100;664200;170800;21500;575400;184500;28200;558800;221100;59000;147400;157800;70200;52500;185600;67300;380100;191300;66900;591100;;68400;462900;1134200
26400;26600;23200;5600;14500;26300;10201;28799;67501;27901;29901;54200;15000;96001;58101;40600;33500;79500;41300;47800;204600;41400;50500;141600;34000;18300;66200;53600;199200;116300;54000;898600;395300;62300;766100;93000;21900;270900;170800;25000;1061000;153000;28700;100100;330300;64000;69100;174800;65900;452900;183100;66800;375700;173000;68600;408100;;66500;485300;1634200
